obs_idx,matched_lat,matched_lon,edge_u,edge_v,edge_key,gps_to_road_distance_m
0,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.292978703487
1,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6347.914916854794
2,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.252095061982
3,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.288291397038
4,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.292784811042
5,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.291967134038
6,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.294642641217
7,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.296640466285
8,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.2928741695905
9,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.325761734671
10,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.289623280302
11,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.293603918694
12,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.29611108361
13,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.292271235588
14,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.295974524498
15,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.287120985845
16,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.291548355024
17,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.291868267944
18,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.2940038495435
19,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.213497867358
20,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.289231651956
21,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.2166451991625
22,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.290563535829
23,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.292927037013
24,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.072031126027
25,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.29395138401
