time,lat,lon
437895.0054,30.5299621219,114.3560909015
437898.0054,30.5299621006,114.3560909062
437901.0054,30.5299620918,114.356090898
437904.0054,30.529962093,114.3560908843
437907.0054,30.5299620995,114.3560908734
437910.0054,30.5299621074,114.3560908681
437913.0054,30.5299621134,114.356090867
437916.0054,30.5299621146,114.356090869
437919.0054,30.5299621126,114.3560908748
437922.0054,30.5299621087,114.3560908833
437925.0054,30.5299621038,114.3560908914
437928.0055,30.5299620993,114.3560908982
437931.0055,30.5299620951,114.3560909025
437934.0055,30.5299620903,114.3560909057
437937.0055,30.5299620836,114.3560909113
437940.0055,30.5299620741,114.3560909213
437943.0055,30.5299620627,114.3560909349
437946.0055,30.52996205,114.356090949
437949.0055,30.5299620388,114.3560909633
437952.0055,30.5299620311,114.3560909778
437955.0055,30.529962025,114.3560909921
437958.0055,30.5299620189,114.356091006
437961.0055,30.5299620127,114.3560910198
437964.0055,30.5299620039,114.3560910326
437967.0055,30.5299619905,114.3560910422
437970.0055,30.5299619753,114.3560910479
437973.0055,30.5299619614,114.3560910495
437976.0055,30.5299619498,114.3560910485
437979.0055,30.5299619421,114.356091047
437982.0056,30.5299619384,114.3560910476
437985.0056,30.5299619354,114.3560910496
437988.0056,30.529961931,114.3560910523
437991.0056,30.5299619245,114.3560910579
437994.0056,30.5299619167,114.3560910663
437997.0056,30.5299619089,114.3560910742
438000.0056,30.5299619021,114.3560910801
438003.0056,30.5299618971,114.3560910847
438006.0056,30.5299618937,114.3560910883
438009.0056,30.5299618908,114.3560910895
438012.0056,30.5299618872,114.3560910904
438015.0056,30.5299618833,114.3560910939
438018.0056,30.5299618795,114.3560910986
438021.0056,30.5299618762,114.3560911042
438024.0056,30.5299618739,114.356091111
438027.0056,30.529961872,114.3560911192
438030.0056,30.5299618702,114.3560911287
438033.0056,30.5299618687,114.3560911388
438036.0056,30.5299618671,114.3560911479
438039.0057,30.5299618652,114.3560911559
438042.0057,30.529961863,114.3560911655
438045.0057,30.5299618611,114.3560911787
438048.0057,30.5299618609,114.3560911946
438051.0057,30.5299618634,114.3560912116
438054.0057,30.5299618685,114.356091228
438057.0057,30.5299618751,114.3560912438
438060.0057,30.5299618802,114.3560912596
438063.0057,30.5299618814,114.3560912713
438066.0057,30.5299618772,114.3560912778
438069.0057,30.5299618699,114.3560912813
438072.0057,30.5299618617,114.3560912852
438075.0057,30.5299618527,114.3560912919
438078.0057,30.529961842,114.3560913036
438081.0057,30.5299618299,114.3560913215
438084.0057,30.5299618187,114.3560913456
438087.0057,30.5299618126,114.3560913691
438090.0057,30.529984558,114.3560927618
438093.0057,30.5300231991,114.3560988627
438096.0058,30.5300619603,114.356095735
438099.0058,30.5300954695,114.3561196657
438102.0058,30.5301327543,114.3561348085
438105.0058,30.5301705905,114.3561210599
438108.0058,30.5302061234,114.3561136146
438111.0058,30.5302380907,114.3561396656
438114.0058,30.5302767285,114.3561309287
438117.0058,30.5303141531,114.3561164727
438120.0058,30.5303523305,114.3561077618
438123.0058,30.5303880406,114.3561265021
438126.0058,30.5304262865,114.3561365484
438129.0058,30.5304612997,114.3561153412
438132.0058,30.530499116,114.3561099867
438135.0058,30.5305368429,114.3561154076
438138.0058,30.5305743603,114.3561009972
438141.0058,30.5306086572,114.3560808761
438144.0058,30.5306461962,114.356069521
438147.0058,30.5306715374,114.3560342911
438150.0058,30.5306875311,114.3559926032
438153.0059,30.5307114162,114.3559568035
438156.0059,30.5307432735,114.3559299863
438159.0059,30.5307654943,114.3558938725
438162.0059,30.5307631794,114.3558483435
438165.0059,30.5307782062,114.3558066848
438168.0059,30.5307804288,114.3557615882
438171.0059,30.530771511,114.3557195513
438174.0059,30.5307846383,114.3556781496
438177.0059,30.5307883641,114.355635553
438180.0059,30.5307648068,114.3556034388
438183.0059,30.5307478416,114.3555630861
438186.0059,30.5307365164,114.3555212852
438189.0059,30.5307325075,114.3554771041
438192.0059,30.5307305472,114.3554312492
438195.0059,30.5307035055,114.3554006466
438198.0059,30.5306673185,114.3553836594
438201.0059,30.5306427377,114.3553486715
438204.0059,30.5306077358,114.3553277542
438207.0059,30.5305785262,114.3552972991
438210.006,30.5305441112,114.3552768557
438213.006,30.5305067342,114.3552905069
438216.006,30.5304697899,114.3553059219
438219.006,30.530431296,114.3553116618
438222.006,30.5303969391,114.3552897091
438225.006,30.5303580044,114.3552862793
438228.006,30.5303197939,114.3552971089
438231.006,30.5302809862,114.3553006991
438234.006,30.5302424956,114.3553066969
438237.006,30.5302057661,114.3552975761
438240.006,30.530170806,114.3552814226
438243.006,30.5301338197,114.3552899373
438246.006,30.5300961093,114.3552948311
438249.006,30.5300575497,114.3552914527
438252.006,30.5300211004,114.3552792901
438255.006,30.5299822559,114.3552713777
438258.006,30.5299450664,114.3552882477
438261.006,30.5299077332,114.3553022967
438264.0061,30.5298693698,114.3553135013
438267.0061,30.529830877,114.355305112
438270.0061,30.5297915773,114.355302285
438273.0061,30.5297542235,114.3553169596
438276.0061,30.5297162327,114.3553055975
438279.0061,30.5296790411,114.3552923018
438282.0061,30.5296424829,114.35530982
438285.0061,30.5296044976,114.3553140708
438288.0061,30.5295658385,114.3553056773
438291.0061,30.5295382826,114.3553371848
438294.0061,30.5295328157,114.3553815657
438297.0061,30.5295343617,114.3554269263
438300.0061,30.5295362143,114.355472221
438303.0061,30.529529766,114.3555169449
438306.0061,30.5295275344,114.3555613136
438309.0061,30.5295303,114.3556061324
438312.0061,30.5295301082,114.3556519472
438315.0061,30.5295301309,114.3556976299
438318.0061,30.5295302976,114.3557414518
438321.0061,30.5295287518,114.3557862965
438324.0062,30.5295304879,114.3558297764
438327.0062,30.5295259428,114.35587192
438330.0062,30.5295109633,114.3559134777
438333.0062,30.5295247303,114.3559556571
438336.0062,30.5295257568,114.3559936609
438339.0062,30.5295172096,114.356036848
438342.0062,30.5295321231,114.3560684296
438345.0062,30.5295638606,114.3560948326
438348.0062,30.5296023043,114.356101686
438351.0062,30.5296376505,114.3561149084
438354.0062,30.529675917,114.3561272287
438357.0062,30.5297148458,114.3561331627
438360.0062,30.529753122,114.356123515
438363.0062,30.529790871,114.356134651
438366.0062,30.52982875,114.3561371895
438369.0062,30.5298619841,114.3561118731
438372.0062,30.5298999027,114.3561064913
438375.0062,30.5299376528,114.3561191841
438378.0063,30.5299769627,114.3561193103
438381.0063,30.5300150951,114.3561087907
438384.0063,30.5300547246,114.3561096091
438387.0063,30.5300933955,114.3561022989
438390.0063,30.5301331541,114.3561031301
438393.0063,30.5301727722,114.3561019523
438396.0063,30.5302123351,114.3560969008
438399.0063,30.5302497753,114.3561075936
438402.0063,30.5302849317,114.3561280227
438405.0063,30.5303216111,114.3561120783
438408.0063,30.5303585838,114.3561087212
438411.0063,30.5303937181,114.3561263163
438414.0063,30.5304318143,114.356137823
438417.0063,30.5304698448,114.3561257015
438420.0063,30.5305047119,114.3561059289
438423.0063,30.5305441546,114.3561064384
438426.0063,30.5305762194,114.3560833531
438429.0063,30.530574147,114.3560386671
438432.0063,30.5305582257,114.355998608
438435.0064,30.5305622036,114.3559531558
438438.0064,30.5305592039,114.3559076
438441.0064,30.5305598569,114.3558629309
438444.0064,30.5305632438,114.35581744
438447.0064,30.5305518362,114.3557739129
438450.0064,30.5305603079,114.3557301411
438453.0064,30.5305619671,114.355685179
438456.0064,30.530554415,114.3556404644
438459.0064,30.5305580147,114.3555946123
438462.0064,30.5305690466,114.3555504728
438465.0064,30.5305932596,114.355516032
438468.0064,30.5306299204,114.3554998912
438471.0064,30.5306685669,114.3555004379
438474.0064,30.5307011782,114.3555266863
438477.0064,30.5307256482,114.3555617862
438480.0064,30.5307531049,114.3555931834
438483.0064,30.5307617234,114.355638111
438486.0064,30.5307679869,114.3556832868
438489.0064,30.5307606045,114.355728299
438492.0065,30.5307549605,114.3557732716
438495.0065,30.5307447583,114.3558177364
438498.0065,30.5307300877,114.3558601217
438501.0065,30.5307159029,114.3559028453
438504.0065,30.5306926872,114.3559394545
438507.0065,30.5306683764,114.3559753548
438510.0065,30.5306472805,114.3560141235
438513.0065,30.530613437,114.3560363554
438516.0065,30.5305752965,114.3560289116
438519.0065,30.5305581523,114.3559897786
438522.0065,30.5305572094,114.3559442528
438525.0065,30.5305607801,114.355898709
438528.0065,30.5305635984,114.355853031
438531.0065,30.5305719591,114.3558083132
438534.0065,30.5305805219,114.3557636547
438537.0065,30.5305794387,114.3557194452
438540.0065,30.5305795802,114.3556853464
438543.0065,30.530580098,114.3556787756
438546.0065,30.5305789246,114.355653653
438549.0066,30.5305793298,114.3556247349
438552.0066,30.5305791613,114.3555916494
438555.0066,30.5305755703,114.3555513828
438558.0066,30.5305710238,114.3555172446
438561.0066,30.5305716546,114.355483493
438564.0066,30.530573333,114.3554499186
438567.0066,30.5305729893,114.355418811
438570.0066,30.5305717887,114.35538855
438573.0066,30.5305701421,114.3553592033
438576.0066,30.5305547745,114.35534024
438579.0066,30.530534711,114.3553328377
438582.0066,30.5305105427,114.3553288807
438585.0066,30.5304824521,114.3553255767
438588.0066,30.5304553705,114.3553220038
438591.0066,30.5304295503,114.3553095841
438594.0066,30.5304015994,114.3553060853
438597.0066,30.5303718746,114.355308184
438600.0066,30.5303423058,114.3553095684
438603.0066,30.530313669,114.3553049657
438606.0067,30.5302840721,114.3553007212
438609.0067,30.530254583,114.3552923479
438612.0067,30.5302208625,114.3553006592
438615.0067,30.530184256,114.3552979861
438618.0067,30.5301487347,114.355293651
438621.0067,30.5301126888,114.3552907082
438624.0067,30.5300762954,114.3552911705
438627.0067,30.5300388413,114.355295678
438630.0067,30.5299993757,114.3552956467
438633.0067,30.5299599508,114.3552964624
438636.0067,30.5299247415,114.3552934111
438639.0067,30.5298869872,114.3552987308
438642.0067,30.529849921,114.3552982987
438645.0067,30.5298129994,114.3553010056
438648.0067,30.5297764167,114.3552944782
438651.0067,30.5297423762,114.3552949892
438654.0067,30.5297082928,114.3553072133
438657.0067,30.5296724097,114.3553125928
438660.0067,30.5296376423,114.3553174308
438663.0068,30.5296050392,114.3553278713
438666.0068,30.5295700656,114.355334934
438669.0068,30.5295323991,114.3553475415
438672.0068,30.5295144656,114.3553752778
438675.0068,30.5295251197,114.3554146259
438678.0068,30.5295266491,114.3554563068
438681.0068,30.5295256145,114.3554995454
438684.0068,30.5295167733,114.3555401499
438687.0068,30.5295128872,114.3555796255
438690.0068,30.5295192436,114.3556205597
438693.0068,30.5295233627,114.3556630886
438696.0068,30.529526252,114.3557056987
438699.0068,30.5295261182,114.3557444345
438702.0068,30.5295262618,114.3557863094
438705.0068,30.5295281419,114.3558273914
438708.0068,30.5295194617,114.3558605221
438711.0068,30.5295185366,114.3558979201
438714.0068,30.5295189432,114.3559340557
438717.0068,30.5295138103,114.3559699686
438720.0069,30.5295125968,114.3560072968
438723.0069,30.529508563,114.3560438329
438726.0069,30.5295304997,114.3560685583
438729.0069,30.5295597911,114.3560823649
438732.0069,30.5295919361,114.3560890041
438735.0069,30.5296250251,114.3560942692
438738.0069,30.5296601752,114.356098755
438741.0069,30.5296929612,114.3560995302
438744.0069,30.5297281084,114.3561028773
438747.0069,30.5297644876,114.356100212
438750.0069,30.5297998502,114.3560979819
438753.0069,30.5298325132,114.3561077748
438756.0069,30.5298670359,114.3561111007
438759.0069,30.5299026653,114.3560995279
438762.0069,30.5299359846,114.3561057419
438765.0069,30.5299703071,114.356111875
438768.0069,30.5300024492,114.3561025053
438771.0069,30.5300342956,114.3561007996
438774.0069,30.5300682781,114.3560994584
438777.007,30.5301027437,114.3561046303
438780.007,30.5301361124,114.3561025363
438783.007,30.5301683286,114.3561075578
438786.007,30.5302039385,114.3561121005
