time,lat,lon
437895.0054,30.5299621219,114.3560909015
437900.0054,30.5299620935,114.3560909018
437905.0054,30.5299620948,114.35609088
437910.0054,30.5299621074,114.3560908681
437915.0054,30.5299621147,114.356090868
437920.0054,30.5299621114,114.3560908776
437925.0054,30.5299621038,114.3560908914
437930.0055,30.5299620966,114.3560909013
437935.0055,30.5299620884,114.3560909071
437940.0055,30.5299620741,114.3560909213
437945.0055,30.5299620542,114.3560909442
437950.0055,30.5299620359,114.3560909681
437955.0055,30.529962025,114.3560909921
437960.0055,30.5299620149,114.3560910153
437965.0055,30.5299619999,114.3560910362
437970.0055,30.5299619753,114.3560910479
437975.0055,30.5299619533,114.3560910491
437980.0055,30.5299619406,114.3560910469
437985.0056,30.5299619354,114.3560910496
437990.0056,30.5299619268,114.3560910556
437995.0056,30.5299619141,114.3560910691
438000.0056,30.5299619021,114.3560910801
438005.0056,30.5299618947,114.3560910872
438010.0056,30.5299618897,114.3560910896
438015.0056,30.5299618833,114.3560910939
438020.0056,30.5299618772,114.3560911022
438025.0056,30.5299618733,114.3560911135
438030.0056,30.5299618702,114.3560911287
438035.0056,30.5299618677,114.3560911451
438040.0057,30.5299618645,114.3560911587
438045.0057,30.5299618611,114.3560911787
438050.0057,30.5299618622,114.3560912059
438055.0057,30.5299618707,114.3560912333
438060.0057,30.5299618802,114.3560912596
438065.0057,30.5299618791,114.356091276
438070.0057,30.5299618672,114.3560912824
438075.0057,30.5299618527,114.3560912919
438080.0057,30.529961834,114.3560913147
438085.0057,30.5299618159,114.3560913543
438090.0057,30.529984558,114.3560927618
438095.0058,30.5300492535,114.3560933612
438100.0058,30.5301073649,114.3561268483
438105.0058,30.5301705905,114.3561210599
438110.0058,30.5302255881,114.3561342541
438115.0058,30.5302889404,114.3561248524
438120.0058,30.5303523305,114.3561077618
438125.0058,30.530412898,114.3561365934
438130.0058,30.5304733514,114.35610948
438135.0058,30.5305368429,114.3561154076
438140.0058,30.5305961755,114.3560848703
438145.0058,30.5306557702,114.3560586492
438150.0058,30.5306875311,114.3559926032
438155.0059,30.5307324133,114.3559385285
438160.0059,30.5307654326,114.355878531
438165.0059,30.5307782062,114.3558066848
438170.0059,30.5307712974,114.3557338277
438175.0059,30.530788278,114.3556642861
438180.0059,30.5307648068,114.3556034388
438185.0059,30.5307393115,114.3555351788
438190.0059,30.5307332515,114.3554617116
438195.0059,30.5307035055,114.3554006466
438200.0059,30.5306508452,114.3553605224
438205.0059,30.5305970547,114.3553190195
438210.006,30.5305441112,114.3552768557
438215.006,30.5304823028,114.3553010826
438220.006,30.5304194472,114.3553057601
438225.006,30.5303580044,114.3552862793
438230.006,30.5302939583,114.3552974957
438235.006,30.5302299426,114.3553052996
438240.006,30.530170806,114.3552814226
438245.006,30.5301093302,114.3552946864
438250.006,30.5300464089,114.3552877763
438255.006,30.5299822559,114.3552713777
438260.006,30.5299206916,114.35529979
438265.0061,30.5298563023,114.3553129969
438270.0061,30.5297915773,114.355302285
438275.0061,30.5297288337,114.3553098796
438280.0061,30.5296660996,114.3552959735
438285.0061,30.5296044976,114.3553140708
438290.0061,30.5295441305,114.3553234811
438295.0061,30.5295349109,114.355396734
438300.0061,30.5295362143,114.355472221
438305.0061,30.5295241403,114.3555466375
438310.0061,30.5295293966,114.3556214492
438315.0061,30.5295301309,114.3556976299
438320.0061,30.529526655,114.3557712007
438325.0062,30.5295300557,114.3558430113
438330.0062,30.5295109633,114.3559134777
438335.0062,30.5295296397,114.3559800438
438340.0062,30.5295189702,114.3560482554
438345.0062,30.5295638606,114.3560948326
438350.0062,30.5296264688,114.3561067191
438355.0062,30.5296882681,114.356132404
438360.0062,30.529753122,114.356123515
438365.0062,30.5298162634,114.356142635
438370.0062,30.5298735896,114.356105313
438375.0062,30.5299376528,114.3561191841
438380.0063,30.5300021728,114.3561104488
438385.0063,30.5300674318,114.3561051355
438390.0063,30.5301331541,114.3561031301
438395.0063,30.5301992123,114.3560987212
438400.0063,30.5302609208,114.3561157845
438405.0063,30.5303216111,114.3561120783
438410.0063,30.530381638,114.3561195687
438415.0063,30.5304450431,114.3561364365
438420.0063,30.5305047119,114.3561059289
438425.0063,30.5305684226,114.3560957109
438430.0063,30.5305666176,114.3560264887
438435.0064,30.5305622036,114.3559531558
438440.0064,30.53055631,114.3558775268
438445.0064,30.5305604976,114.3558023844
438450.0064,30.5305603079,114.3557301411
438455.0064,30.5305555545,114.3556556539
438460.0064,30.5305621735,114.3555802238
438465.0064,30.5305932596,114.355516032
438470.0064,30.5306560187,114.3554965068
438475.0064,30.5307109837,114.3555366301
438480.0064,30.5307531049,114.3555931834
438485.0064,30.5307670348,114.3556682797
438490.0064,30.5307576645,114.3557432042
438495.0065,30.5307447583,114.3558177364
438500.0065,30.5307204488,114.3558886809
438505.0065,30.5306832121,114.3559500899
438510.0065,30.5306472805,114.3560141235
438515.0065,30.5305870241,114.3560355286
438520.0065,30.5305571969,114.3559746597
438525.0065,30.5305607801,114.355898709
438530.0065,30.5305688919,114.3558232033
438535.0065,30.5305808182,114.3557482542
438540.0065,30.5305795802,114.3556853464
438545.0065,30.5305802724,114.3556642083
438550.0066,30.5305801396,114.3556145816
438555.0066,30.5305755703,114.3555513828
438560.0066,30.5305712801,114.3554941901
438565.0066,30.5305734811,114.3554393443
438570.0066,30.5305717887,114.35538855
438575.0066,30.5305626494,114.3553453238
438580.0066,30.5305263732,114.3553314277
438585.0066,30.5304824521,114.3553255767
438590.0066,30.5304380135,114.3553140421
438595.0066,30.5303912114,114.3553065731
438600.0066,30.5303423058,114.3553095684
438605.0067,30.5302938302,114.3553026371
438610.0067,30.5302445536,114.3552922472
438615.0067,30.530184256,114.3552979861
438620.0067,30.5301246295,114.355291066
438625.0067,30.530064212,114.355291002
438630.0067,30.5299993757,114.3552956467
438635.0067,30.5299369266,114.3552936621
438640.0067,30.5298742692,114.3552986774
438645.0067,30.5298129994,114.3553010056
438650.0067,30.5297539861,114.3552926276
438655.0067,30.5296960958,114.3553090775
438660.0067,30.5296376423,114.3553174308
438665.0068,30.5295825949,114.3553326059
438670.0068,30.529521887,114.3553554622
438675.0068,30.5295251197,114.3554146259
438680.0068,30.529526769,114.3554849683
438685.0068,30.5295136951,114.3555542584
438690.0068,30.5295192436,114.3556205597
438695.0068,30.5295249143,114.3556923362
438700.0068,30.5295253939,114.3557576304
438705.0068,30.5295281419,114.3558273914
438710.0068,30.5295186886,114.3558852163
438715.0068,30.5295183041,114.3559461072
438720.0069,30.5295125968,114.3560072968
438725.0069,30.529519954,114.3560618266
438730.0069,30.5295703431,114.3560850043
438735.0069,30.5296250251,114.3560942692
438740.0069,30.5296821961,114.3560987028
438745.0069,30.529739231,114.3561010839
438750.0069,30.5297998502,114.3560979819
438755.0069,30.5298563878,114.3561168224
438760.0069,30.5299134296,114.3560995031
438765.0069,30.5299703071,114.356111875
438770.0069,30.5300236392,114.3561024699
438775.0069,30.5300797431,114.3561026215
438780.007,30.5301361124,114.3561025363
438785.007,30.5301904785,114.3561108583
438790.007,30.530256489,114.3561129427
438795.007,30.5303179482,114.3561181992
438800.007,30.5303684652,114.3561058803
438805.007,30.5304275993,114.3560949318
438810.007,30.5304911434,114.3560786388
438815.007,30.5305562516,114.3560705907
438820.007,30.5306086606,114.3560369359
438825.007,30.530655333,114.3559881636
438830.007,30.5307040042,114.3559375154
438835.0071,30.5307306123,114.3558733855
438840.0071,30.5307637611,114.3558090591
438845.0071,30.5307699404,114.3557345622
438850.0071,30.5307657932,114.3556584626
438855.0071,30.5307487174,114.355584588
438860.0071,30.5307219896,114.3555151092
438865.0071,30.5306823854,114.355456419
438870.0071,30.5306485781,114.3553965586
438875.0071,30.5306121585,114.3553419814
438880.0071,30.5305470392,114.3553320881
438885.0071,30.5304837864,114.3553123724
438890.0071,30.5304186031,114.3553181911
438895.0072,30.5303584698,114.3553101704
438900.0072,30.5302952966,114.3553075233
438905.0072,30.5302362077,114.3553212145
438910.0072,30.530178063,114.355299328
438915.0072,30.5301193236,114.3553063915
438920.0072,30.5300665678,114.3553109693
438925.0072,30.5300067565,114.3553060128
438930.0072,30.5299480277,114.3553200889
438935.0072,30.5298887857,114.3553030946
438940.0072,30.5298283778,114.3552964207
438945.0072,30.5297681707,114.3552916842
438950.0073,30.5297044188,114.3552936621
438955.0073,30.5296479141,114.3553183244
438960.0073,30.5295857765,114.3553088814
438965.0073,30.5295360458,114.355339308
438970.0073,30.5295304947,114.3554028867
438975.0073,30.5295280947,114.3554736765
438980.0073,30.5295247437,114.3555416242
438985.0073,30.5295226631,114.3556111521
438990.0073,30.5295328782,114.3556799476
438995.0073,30.5295323647,114.355743112
439000.0073,30.5295226321,114.3558108398
439005.0073,30.5295351195,114.3558750537
439010.0074,30.5295155098,114.3559370408
439015.0074,30.5295276931,114.3560005226
439020.0074,30.5295411181,114.3560649274
439025.0074,30.5295903497,114.3560883222
439030.0074,30.5296498007,114.356088502
439035.0074,30.5297099855,114.3561003098
439040.0074,30.5297703504,114.3560992355
439045.0074,30.5298277356,114.3560926191
439050.0074,30.5298868343,114.3561085364
439055.0074,30.5299388736,114.3560827565
439060.0074,30.5299975965,114.3561014944
439065.0075,30.5300579244,114.3560829283
439070.0075,30.5301174069,114.3560986983
439075.0075,30.5301764392,114.3560839492
439080.0075,30.5302381626,114.3560967948
439085.0075,30.530302029,114.3561058288
439090.0075,30.5303618206,114.3560817904
439095.0075,30.5304198779,114.3560939807
439100.0075,30.5304763379,114.3560926179
439105.0075,30.5304969528,114.3560796286
439110.0075,30.5305393638,114.356068537
439115.0075,30.5305801301,114.3560407195
439120.0075,30.5305814906,114.3559820886
439125.0076,30.5306307863,114.3559446446
439130.0076,30.5306635279,114.3558826004
439135.0076,30.530651913,114.3558196953
439140.0076,30.5306025968,114.3557755122
439145.0076,30.5305845914,114.3557086336
439150.0076,30.5306171247,114.3556603188
439155.0076,30.5306521247,114.3555970103
439160.0076,30.5306671949,114.3555236431
439165.0076,30.5306257414,114.3554709572
439170.0076,30.5305855724,114.3554167937
439175.0076,30.5305768087,114.35535477
439180.0077,30.5305229221,114.3553243026
439185.0077,30.530466034,114.35530883
439190.0077,30.5304081233,114.3552980444
439195.0077,30.5303527969,114.3553153284
439200.0077,30.5303054617,114.3553166686
439205.0077,30.5302534174,114.3553189624
439210.0077,30.5301901477,114.3553035309
439215.0077,30.5301269364,114.3553072144
439220.0077,30.5300710638,114.3553178288
439225.0077,30.5300112737,114.3553108789
439230.0077,30.5299492666,114.3553057089
439235.0077,30.5298894105,114.3553231798
439240.0078,30.5298360933,114.3553016158
439245.0078,30.5297775961,114.355322815
439250.0078,30.5297208465,114.3552988965
439255.0078,30.5296579024,114.3553029887
439260.0078,30.52960019,114.3553292618
439265.0078,30.5295479806,114.3553261243
439270.0078,30.5295081912,114.3553617119
439275.0078,30.5295181364,114.3554112201
439280.0078,30.5295126063,114.3554828983
439285.0078,30.5295183757,114.355553104
439290.0078,30.5295137167,114.3556247692
439295.0078,30.529508576,114.3557009398
439300.0079,30.5295072558,114.3557773013
439305.0079,30.5295125355,114.3558536579
439310.0079,30.5295225237,114.3559275837
439315.0079,30.5295260808,114.3559962775
439320.0079,30.5295294978,114.3560540231
439325.0079,30.5295723805,114.3560788589
439330.0079,30.5296199037,114.3561037833
439335.0079,30.5296735005,114.356114219
439340.0079,30.5297303642,114.3561240163
439345.0079,30.529780131,114.3561137291
439350.0079,30.5298328465,114.3561086816
439355.008,30.529892714,114.3560979691
439360.008,30.5299399146,114.3560893592
439365.008,30.5299966314,114.3560854583
439370.008,30.5300456709,114.3560915746
439375.008,30.5300625622,114.3560932528
439380.008,30.5301264471,114.3560976899
439385.008,30.5301925284,114.356096044
439390.008,30.5302532194,114.3561140334
439395.008,30.5303147331,114.3560946868
439400.008,30.5303800979,114.356091447
439405.008,30.5304459748,114.3560848841
439410.008,30.5305094336,114.3560701462
439415.0081,30.5305566867,114.3560298698
439420.0081,30.5305911791,114.3559775834
439425.0081,30.5306182092,114.3559182498
439430.0081,30.5306057528,114.3558451772
439435.0081,30.5306550676,114.3557980913
439440.0081,30.5306380625,114.3557280706
439445.0081,30.5305978548,114.3556695436
439450.0081,30.5306407964,114.3556155803
439455.0081,30.5306791652,114.3555562027
439460.0081,30.5306520501,114.3554995658
439465.0081,30.5306087673,114.3555431529
439470.0082,30.5306500201,114.3556017662
439475.0082,30.530686362,114.3556638928
439480.0082,30.5307041434,114.3557370866
439485.0082,30.5307054582,114.3558115936
439490.0082,30.530677763,114.3558773709
439495.0082,30.530644278,114.3559409151
439500.0082,30.5306002329,114.3559973292
439505.0082,30.530550734,114.3560482067
439510.0082,30.530493201,114.3560788009
439515.0082,30.5304285015,114.3560930222
439520.0082,30.530365873,114.3561105021
439525.0082,30.5303001605,114.3561168921
439530.0083,30.530242069,114.3561108272
