obs_idx,matched_lat,matched_lon,edge_u,edge_v,edge_key,gps_to_road_distance_m
0,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6352.401798870878
1,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6382.901407144031
2,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6363.85982067873
3,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6358.154265218625
4,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6357.95521550629
5,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6352.511326383376
6,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6357.495500754621
7,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6358.497969202618
8,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6348.98458282059
9,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6354.708225316787
10,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6351.816590425373
11,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6342.353726768238
12,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6348.002048586396
13,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6343.217424869199
14,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6341.076286950995
15,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.187249503734
16,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6341.941566962979
17,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6354.096334292636
18,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.4037809723195
19,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6348.946058760533
20,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6343.94352471791
21,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6348.944049262235
22,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6348.345636607544
23,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6344.237716907188
24,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.292628540926
25,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.469520097256
26,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6354.902798840974
27,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6359.893291189136
28,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6357.0492376525335
29,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6344.92119394301
30,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6347.142274706553
31,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6352.747467904505
32,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6354.996357668746
33,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6357.0453145947295
34,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6351.388995347111
35,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6351.471440208381
36,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6354.884528023094
37,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6347.091996949957
38,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6352.893176416906
39,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6359.348926175987
40,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6345.469495873567
41,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6348.219128525088
42,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6355.37949843914
43,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.064719981758
44,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6347.869204227649
45,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6345.899050075612
46,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6351.998284927203
47,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6343.188005047733
48,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6346.03670099154
49,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.322436135835
50,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.147014607191
51,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6354.111665698602
52,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6346.372053720062
53,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6348.9955802731565
54,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6352.166777565662
55,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.9325355346455
56,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6352.719869054152
57,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6357.156864546114
58,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6346.981752224
59,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6347.720550314378
60,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6345.84892632638
