case_name,HMM,trendHMM
noise_0m,1.0,1.0
noise_10m,1.0,1.0
noise_20m,1.0,1.0
noise_5m,1.0,1.0
raw,1.0,1.0
step_1,1.0,1.0
step_2,1.0,1.0
step_3,1.0,1.0
step_5,1.0,1.0
