case_name,HMM,trendHMM
noise_0m,0.0,0.0
noise_10m,0.0,0.0
noise_20m,0.0,0.0
noise_5m,0.0,0.0
raw,0.0,0.0
step_1,0.0,0.0
step_2,0.0,0.0
step_3,0.0,0.0
step_5,0.0,0.0
