obs_idx,matched_lat,matched_lon,edge_u,edge_v,edge_key,gps_to_road_distance_m
0,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.292978703487
1,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.29199731984
2,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.29465398398
3,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.291967134038
4,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.294107986875
5,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.2971532404
6,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.289623280302
7,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.921330728101
8,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.697377332394
9,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.287120985845
10,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.292496517787
11,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.296963813989
12,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.289231651956
13,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.295111653579
14,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.292728907475
15,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.29395138401
