obs_idx,matched_lat,matched_lon,edge_u,edge_v,edge_key,gps_to_road_distance_m
0,30.53001022338866,114.3563232421875,12803991867,6222270514,0,28.14320473982466
1,30.52996650342167,114.35632324219014,6222270512,12803991867,0,23.518868094317877
2,30.529815673828125,114.3563232421875,13505885314,6222270512,0,25.92201637904623
3,30.529815673828125,114.3563232421875,13505885314,6222270512,0,25.275263632382845
4,30.52989855975064,114.3563232421912,6222270512,12803991867,0,18.994135675402543
5,30.53001022338866,114.3563232421875,12803991867,6222270514,0,27.17471377597433
6,30.53001022338866,114.3563232421875,12803991867,6222270514,0,24.99761018014229
7,30.52994151408594,114.35632324219095,6222270512,12803991867,0,27.25098170752943
8,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.856386977590283
9,30.529922680220203,114.35632324219125,6222270512,12803991867,0,29.504529100911526
10,30.53001022338866,114.3563232421875,12803991867,6222270514,0,21.42251342167486
11,30.52998880522916,114.35632324218899,6222270512,12803991867,0,25.27887222629672
12,30.53001022338866,114.3563232421875,12803991867,6222270514,0,24.182264457140032
13,30.530001793571117,114.35632324218813,6222270512,12803991867,0,24.991579517395245
14,30.53004455835182,114.35632324218999,12803991867,6222270514,0,26.916472941865635
15,30.529933750019506,114.35632324219111,6222270512,12803991867,0,17.56172639521441
16,30.53003429363867,114.35632324218935,12803991867,6222270514,0,22.21189843387104
17,30.52991437283661,114.3563232421913,6222270512,12803991867,0,23.838821167708904
18,30.529959311112986,114.35632324219043,6222270512,12803991867,0,17.211867196961066
19,30.530007567558176,114.3563232421877,6222270512,12803991867,0,20.268053358714493
20,30.530023623458515,114.35632324218858,12803991867,6222270514,0,16.061043516299158
21,30.529993166420876,114.35632324218871,6222270512,12803991867,0,29.92398544360392
22,30.529994120023215,114.35632324218865,6222270512,12803991867,0,17.160105213114544
23,30.53002186255371,114.35632324218845,12803991867,6222270514,0,28.028311391127673
24,30.529966453678476,114.35632324219014,6222270512,12803991867,0,23.530706293490088
25,30.52999341657181,114.3563232421887,6222270512,12803991867,0,14.007852113816648
26,30.529930980349455,114.35632324219117,6222270512,12803991867,0,21.414933110496285
27,30.529815673828125,114.3563232421875,13505885314,6222270512,0,26.089045763994307
28,30.529865404471373,114.35632324219038,6222270512,12803991867,0,27.52596887109299
29,30.53003047437594,114.35632324218909,12803991867,6222270514,0,18.905900746132392
30,30.529991862754354,114.3563232421888,6222270512,12803991867,0,19.513297754962597
31,30.529938154368832,114.35632324219104,6222270512,12803991867,0,22.22969882244113
32,30.53001022338866,114.3563232421875,12803991867,6222270514,0,21.187919097451115
33,30.53001022338866,114.3563232421875,12803991867,6222270514,0,21.637908413167168
34,30.52990725490136,114.35632324219128,6222270512,12803991867,0,20.303468625737693
35,30.53001022338866,114.3563232421875,12803991867,6222270514,0,29.965115382275254
36,30.529941259431318,114.35632324219097,6222270512,12803991867,0,26.206489412708088
37,30.53000827515543,114.35632324218766,6222270512,12803991867,0,19.717426079140267
38,30.52997544761365,114.35632324218972,6222270512,12803991867,0,23.066440514934122
39,30.52989070972702,114.3563232421911,6222270512,12803991867,0,22.185693070008483
40,30.530013125802906,114.35632324218774,12803991867,6222270514,0,18.06062310738778
41,30.530000344563835,114.35632324218822,6222270512,12803991867,0,21.246206508896805
42,30.529968598331326,114.35632324219006,6222270512,12803991867,0,23.53571015697113
43,30.53001022338866,114.3563232421875,12803991867,6222270514,0,25.188896591262147
44,30.52998327266083,114.3563232421893,6222270512,12803991867,0,26.931778503539594
45,30.53001022338866,114.3563232421875,12803991867,6222270514,0,23.40719786646703
46,30.52992769657362,114.3563232421912,6222270512,12803991867,0,25.100582074119323
47,30.530044903023867,114.35632324219002,12803991867,6222270514,0,32.22890171767981
48,30.530001993004305,114.35632324218811,6222270512,12803991867,0,25.7671903705408
49,30.52997936300636,114.35632324218952,6222270512,12803991867,0,28.21032878623829
50,30.53001022338866,114.3563232421875,12803991867,6222270514,0,27.89571991912495
51,30.529911933128982,114.3563232421913,6222270512,12803991867,0,13.248586414600304
52,30.530003569495996,114.356323242188,6222270512,12803991867,0,11.183409829787566
53,30.5299756882391,114.35632324218972,6222270512,12803991867,0,26.03499819999499
54,30.529985269215896,114.35632324218919,6222270512,12803991867,0,19.74288004736795
55,30.529915333777335,114.3563232421913,6222270512,12803991867,0,23.136218276695
56,30.53001022338866,114.3563232421875,12803991867,6222270514,0,30.87564934316002
57,30.529907172197582,114.35632324219128,6222270512,12803991867,0,31.89502295406213
58,30.52994287529972,114.35632324219094,6222270512,12803991867,0,16.034691118736326
59,30.529959539243777,114.35632324219043,6222270512,12803991867,0,28.05263568836941
