obs_idx,matched_lat,matched_lon,edge_u,edge_v,edge_key,gps_to_road_distance_m
0,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.292978703487
1,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6354.289087286847
2,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.463662706734
3,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.252095061982
4,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.295095042363
5,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.29465398398
6,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.292784811042
7,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.293535640321
8,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.294442675806
9,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.294642641217
10,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.294107986875
11,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.294486037255
12,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.2928741695905
13,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.291635082111
14,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.2921614304205
15,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.289623280302
16,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.292397252247
17,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.292068235867
18,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.29611108361
19,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.755473697302
20,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.697377332394
21,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.295974524498
22,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.713644242931
23,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6349.806398968244
24,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.291548355024
25,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.292496517787
26,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.293888774171
27,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.2940038495435
28,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.295376861857
29,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.293348450009
30,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.289231651956
31,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.288535523207
32,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.287768080536
33,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.290563535829
34,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.291920336658
35,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.292728907475
36,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.072031126027
37,30.520627975463864,114.38909912109375,2864431774,2864431776,0,6350.297852004404
